subject_id,type,info,ee,en
,FALSE,,Puhvervõimendi.,Buffer amplifier
,,,,
,question,,Mis vastuvõtjas juhtub kui väga tugev signaal jõuab seguastmeni?,What happens in a receiver when a very strong signal reaches the mixing stage?
,,,,
,FALSE,,Seguastmes genereeritakse parasiitsed segustusproduktid,Parasitic mixing products are generated in the mixing stage
,TRUE,,Seguaste lakkab töötamast.,The mixer stops working
,FALSE,,Toimub automaatne signaali piiramine.,Automatic signal limiting occurs
,FALSE,,Geneeritakse tuikesagedus.,A pulse rate is generated
,,,,
,question,,Mis on vastuvõtja kõrgsagedusvõimendi esmane ülesanne?,What is the primary function of a receivers high- frequency amplifier?
,,,,
,FALSE,,Kindlustada enamik vastuvõtja võimendusest.,Ensure most of the receiver gain
,FALSE,,Automaatse võimenduse reguleerimise süsteemi abil muuta parasiitsignaalide mahasurumise astet.,Use the automatic gain control system to change the degree of suppression of parasitic signals
,TRUE,,Parandada vastuvõtja mürategurit.,Improve the noise figure of the receiver
,FALSE,,Tekitada automaatse võimendusregulatsiooni tööks vajalikku pinget.,Generate the voltage required for automatic gain control to operate
,,,,
,question,,Millised kaks faktorit määratlevad vastuvõtja tundlikkuse?,What two factors determine the sensitivity of a receiver?
,,,,
,FALSE,,Dünaamiline diapasoon ja kolmanda järgu lõikepunkt.,Dynamic range and third-order intercept
,FALSE,,Hind ja kättesaadavus.,Price and availability
,TRUE,,Ribalaius ja mürategur.,Bandwidth and noise figure
,FALSE,,Intermodulatsioonimoonutused ja dünaamiline diapasoon.,Intermodulation distortion and dynamic range
,,,,
,,,,
M5A,,,Moodul M5A Raadiosaateseadmed.,
,question,,Mis tüüpi sisendsignaali kasutatakse SSB saatja lineaarsuse kontrollimiseks?,What type of input signal is used to check the linearity of an SSB transmitter?
,,,,
,FALSE,,Tavalist kõnet.,Normal speech
,FALSE,,Helisageduslikku siinuslainet,Audio frequency sine wave
,TRUE,,Kaht helisageduslikku siinuslainet,Two audio frequency sine waves
,FALSE,,Helisageduslikku kantlainet.,Audio frequency cantilever
,,,,
,question,,Miks kasutatakse raadiosaatja kõrgepingealaldis šunttakistit?,Why is a high-voltage shunt resistor used in a radio transmitter?
,,,,
,FALSE,,Parandab pingeregulatsiooni.,Improves voltage regulation
,TRUE,,Laadib filterkondensaatori tühjaks.,Discharges the filter capacitor
,FALSE,,Kõrvaldab poolidelt elektrilöögi saamise ohu.,Eliminates the risk of electric shock from coils
,FALSE,,Elimineerib maaühenduse voolud.,Eliminates ground fault currents
,,,,
,question,,Mida saab kontrollida kahe tooni testi abil?,What can be checked with the two-tone test?
,,,,
,FALSE,,Sagedusmodulatsiooni protsenti.,Frequency modulation percentage
,FALSE,,Kandesageduse faasinihet.,Carrier frequency phase shift
,TRUE,,Kõrgsagedusvõimendi lineaarsust.,Linearity of the high-frequency amplifier
,FALSE,,Sagedusdeviatsiooni,Frequency deviation
,,,,
,question,,Miks on mõningates lampvõimendites vajalik neutralisatsioon?,Why is neutralization necessary in some tube amplifiers?
,,,,
,FALSE,,Häälestatud võnkeringides koormatud Q vähendamiseks.,To reduce the loaded Q in tuned oscillator circuits
,FALSE,,Võre ja katoodi vahelise lekkevoolu vähendamiseks.,To reduce the leakage current between the grid and the cathode
,TRUE,,Elektroodidevahelise mahtuvuse tõttu tekkida võiva ostsilleerimise vältimiseks.,To prevent oscillation that may occur due to capacitance between electrodes
,FALSE,,Tooriumoksiidi mõjul lambis tekkiva happe likvideerimiseks.,To eliminate the acid produced in the lamp by the effect of thorium oxide
,,,,
,question,,Milliseid kaht helisagedust võib kasutada SSB telefonisaatja lineaarsuse kontrollimiseks?,What two audio frequencies can be used to check the linearity of an SSB telephone transmitter?
,,,,
,FALSE,,Tuleb kasutada signaale sagedusega 20Hz ja 20000Hz.,Signals with frequencies of 20Hz and 20000Hz must be used
,TRUE,,"Võib kasutada suvalisi helisagedusi, mis paiknevad saatja helisagedustrakti pääsuribas tingimusel, et nad ei ole teineteisega harmoonilises suhtes.","Any audio frequencies that are within the passband of the transmitter's audio frequency range can be used, provided that they are not in a harmonic relationship with each other"
,FALSE,,Tuleb kasutada sagedusi 1200Hz ja 2400hz.,Frequencies of 1200Hz and 2400hz must be used
,FALSE,,Tuleb kasutada saatja helisagedustraktis paiknevat ja teineteisega harmoonilises suhtes olevat helisagedust.,Audio frequencies that are within the transmitter's audio frequency range and in harmonic relationship with each other must be used
,,,,
,question,,Mis tüüpi filter tuleb installeerida amatöörsaatjasse harmooniliste sageduste kiirguse vältimiseks?,What type of filter should be installed in an amateur transmitter to prevent the emission of harmonic frequencies?
,,,,
,FALSE,,Võtmeklõpsu filter.,Key click filter
,TRUE,,Madalpääsfilter.,Low-pass filter
,FALSE,,Kõrgpääsfilter.,High-pass filter
,FALSE,,CW filter.,CW filter
,,,,
,question,,Mida on vaja omada telefonitööks ettenähtud amatöörraadiojaamas?,What is needed for an amateur radio station intended for telephone work?
,,,,
,FALSE,,Splatteri filter.,Splatter filter
,TRUE,,Mikrofon.,Microphone
,FALSE,,Vastuvõtja helisagedusfilter.,Receiver audio frequency filter
,FALSE,,Väljakutseautomaat.,Recorded CQ calls
,,,,
,question,,"Monteerisite oma autosse VHF või UHF FM raadiojaama. Milline on antenni jaoks parim koht ,vältimaks juhi ja reisijate ülikõrgsagedusliku kiirituse ohtu?",You have installed a VHF or UHF FM radio station in your car. What is the best location for the antenna to avoid the risk of VHF radiation to the driver and passengers?
,,,,
,TRUE,,Katuse keskkoht.,The center of the roof
,FALSE,,Tuuleklaasi ülemine äär.,The upper edge of the windshield
,FALSE,,Ükskõik kummal esimesel poritiival.,Whichever is on the first fender
,FALSE,,Pagasiruumi luugil.,On the trunk lid
,,,,
,question,,Mis on saatjas kasutatavate ekraanide otstarve?,What is the purpose of the screens used in the transmitter?
,,,,
,FALSE,,Moodustab strukturaalse madalpääsfiltri.,Forms a structural low-pass filter
,TRUE,,Likvideerib ebasoovitava kõrgsagedusliku kiirguse.,Eliminates unwanted high-frequency radiation
,FALSE,,Takistab helisagedusliku tagasiside tekkimist saatjas.,Prevents audio frequency feedback from occurring in the transmitter
,FALSE,,Aitab säilitada saatjas paraja kõrgusega töötemperatuuri.,Helps maintain the transmitter at the proper operating temperature
,,,,
,question,,Miks kasutatakse nn. pii-filtrit saatja väljundis?,Why is a so-called pi filter used at the transmitter output?
,,,,
,TRUE,,Saatja väljundimpedantsi sobitamiseks antenni toiteliiniga ja parasiitkiirguse vähendamiseks.,To match the transmitter output impedance to the antenna feed line and reduce parasitic radiation
,FALSE,,Antenni poolt vastuvõetud mürasignaalide mahajuhtimiseks.,To reject noise signals received by the antenna
,FALSE,,Antennis tekkinud staatiliste pingete saatjasse pääsu takistamiseks.,To prevent static voltages generated in the antenna from entering the transmitter
,FALSE,,Saatja lõpplambi kõrgepinge pääsu takistamiseks antenni.,To prevent high voltage from the transmitter's output lamp from reaching the antenna
,,,,
,,,,
M6A,,,Moodul M6A Antennid ja fiidrid.,
,question,,Miks kasutatakse sagedasti Yagi antenni 50 MHz sagedusalal?,Why is a Yagi antenna often used in the 50 MHz frequency band?
,,,,
,FALSE,,Annab horisontaaltasapinnas hea ringkiirguse.,Provides good circular radiation in the horizontal plane
,FALSE,,"On väiksem, odavam ja kergem üles panna kui dipoolantenn.","It is smaller, cheaper and easier to set up than a dipole antenna"
,TRUE,,Vähendab teiste jaamade poolt tekitatavaid interferentshäireid nii külg- kui tagasuunas.,Reduces interference from other stations both to the side and to the rear
,FALSE,,Ei võta niipalju ruumi kui teised antennid.,Doesn't take up as much space as other antennas
,,,,
,question,,Milline meetod on parim ebasümmeetrilise koaksiaalkaabli sobitamiseks Yagi antenniga?,What is the best method for matching an unbalanced coaxial cable to a Yagi antenna?
,,,,
,FALSE,,“T” -sobitus.,“T” match
,FALSE,,Delta sobitus.,Delta match
,TRUE,,Gamma sobitus.,Gamma match
,FALSE,,Hairpin – sobitus.,Hairpin match
,,,,
,question,,Kuidas saab suurendada parasiitelementidega suundantenni sagedusriba laiust?,How can the bandwidth of a directional antenna be increased with parasitic elements?
,,,,
,TRUE,,Kasutada suurema läbimõõduga elemente.,Use elements with larger diameters
,FALSE,,Vähendada elementide vahet.,Reduce the spacing between elements
,FALSE,,Kasutada teleskoopelemente.,Use telescopic elements
,FALSE,,Suurendada elementide arvu.,Increase the number of elements
,,,,
,question,,Kui suur on poollaine dipoolantenni toitepunkti impedants vabas ruumis?,What is the impedance of the feed point of a half-wave dipole antenna in free space?
,,,,
,FALSE,,"Ligikaudu 50 oomi, takistuslik.","Approximately 50 ohms, resistive"
,FALSE,,"Ligikaudu 73 oomi, takistuslik ja induktiivne.","Approximately 73 ohms, resistive and inductive"
,TRUE,,"Ligikaudu 73 oomi, takistuslik.","Approximately 73 ohms, resistive"
,FALSE,,"300 oomi, takistslik.","300 ohms, resistive"
,,,,
,question,,Kui suur on dipoolantenni võimendus võrreldes isotroopse kiirgajaga?,How much is the gain of a dipole antenna compared to an isotropic radiator?
,,,,
,FALSE,,On võrdse võimendusega.,It has equal amplification
,TRUE,,"Dipoolantenni võimendus on ligikaudu 2,3dB suurem.",The gain of the dipole antenna is approximately 2.3dB higher
,FALSE,,"Dipoolantenni võimendus on 5,6dB.",The gain of the dipole antenna is 5.6dB
,FALSE,,"Dipoolantenni võimendus on 4,3dB.",The gain of the dipole antenna is 4.3dB
,,,,
,question,,Mida tähendab termin ette-taha suhe?,What does the term front-to-back ratio mean?
,,,,
,FALSE,,Direktorite ja reflektorite arvu suhet.,The ratio of the number of directors and reflectors
,TRUE,,Antenni peakiire suunas kiiratava võimsuse ja täpselt vastassuunalise kiirgusvõimsuse suhet.,The ratio of the power radiated in the direction of the antenna's main beam to the power radiated in the exact opposite direction
,FALSE,,Aktiivse vibraatori asendit reflektori ja direktorite suhtes.,The position of the active vibrator relative to the reflector and directors
,FALSE,,Reflektori ja vibraatoritepoolse poomipikkuse suhet.,The ratio of the boom length between the reflector and the vibrators
,,,,
,question,,Miks kasutatakse silikoonõli või autovaha TV-tüüpi lapikkaabli pinna katteks?,Why is silicone oil or car wax used to coat the surface of TV-type flat cable?
,,,,
,FALSE,,Skin- efekti vähendamiseks.,To reduce the skin effect
,TRUE,,Mustuse ja niiskuse sadestumise vähendamiseks juhtmel.,To reduce dirt and moisture buildup on the cord
,FALSE,,Soojuse ärajuhtimiseks töötades kõrge seisulainega liinis.,To dissipate heat when working on a line with high standing waves
,FALSE,,Lindude eemalepeletamiseks antenni juurest.,To scare birds away from the antenna
,,,,
,question,,Mis ühikutes väljendatakse kõrgsagedusliku toiteliini kadusid?,In what units are high-frequency power line losses expressed?
,,,,
,FALSE,,dB/km.,dB/km
,FALSE,,Bell/100m.,Bell/100m
,TRUE,,dB/100m.,dB/100m
,FALSE,What's a neper? https://en.wikipedia.org/wiki/Neper,Neper meetrile.,Neper to the meter
,,,,
,question,,Mis juhtub dielektrikuskadudega toiteliinis töösageduse suurenemisel?,What happens to dielectric losses in a power line as the operating frequency increases?
,,,,
,FALSE,,Kaod vähenevad.,Losses decrease
,TRUE,,Kaod suurenevad.,Losses increase
,FALSE,,Kaod jäävad samaks.,Losses remain the same
,FALSE,,Kadude tõttu hakkab toitekaabel kuumenema.,"Due to losses, the power cable starts to heat up"
,,,,
,question,,Kuidas mõjutab koaksiaalkaabli impedants teda läbiva signaali sumbuvust?,How does the impedance of a coaxial cable affect the attenuation of a signal passing through it?
,,,,
,TRUE,,Sumbuvus on suurem sagedustel üle 144 MHz.,The attenuation is higher at frequencies above 144 MHz
,FALSE,,Sumbuvus on väiksem sagedustel üle 144 MHz.,The attenuation is lower at frequencies above 144 MHz
,FALSE,,"Sumbuvus on sagedustel kuni 1,5GHz enamvähem ühtlane",The attenuation is more or less uniform at frequencies up to 1.5GHz
,FALSE,,Sumbuvus on enamvähem ühtlane sagedustel kuni 200 GHz.,The attenuation is more or less uniform at frequencies up to 200 GHz
,,,,
,,,,
M7A,,,Moodul M7A Raadiolevi.,
,question,,Mis iseloomustab nn. “backscatter” signaale?,What characterizes so-called “backscatter” signals?
,,,,
,FALSE,,Väga hea arusaadavus.,Very good readability
,TRUE,,Lainetav heli.,Wavy sound
,FALSE,,Ümberpööratud külgribad.,Inverted sidebars
,FALSE,,Sisisevad signaalid.,Hissing signals
,,,,
,question,,Mis on solar-flux indeks?,What is the solar-flux index?
,,,,
,FALSE,,Päikese magnetvälja intensiivsus.,The intensity of the sun's magnetic field
,FALSE,,Maa poole pööratud Päikese küljel nähtavate plekkide arv.,The number of sunspots visible on the side of the Sun facing Earth
,TRUE,,Päikese poolt kiiratav ioniseeriv energia.,Ionizing energy emitted by the sun
,FALSE,,Päikesel nähtavate plekigruppide arv.,The number of sunspot groups visible on the Sun
,,,,
,question,,Mida nimetatakse geomagnetiliseks häireks?,What is called a geomagnetic disturbance?
,,,,
,FALSE,,Päikese solar-fluks indeksi järsk langus.,A sharp drop in the Sun's solar flux index
,TRUE,,Maa magnetvälja järsk muutus lühikese aja jooksul.,A sudden change in the Earth's magnetic field over a short period of time
,FALSE,,Maa magnetpooluse nihe.,Earth's magnetic pole shift
,FALSE,,Päikeseplekkide magnetvälja polaarsuse muutus.,Change in the polarity of the magnetic field of sunspots
,,,,
,question,,Kui kiiresti jõuab Päikeselt kiirguv laetud osakeste vool Maale?,How fast does the stream of charged particles emitted from the Sun reach Earth?
,,,,
,FALSE,,"1,5 sekundiga.","1,5 sekundiga"
,FALSE,,8 minutiga.,In 8 minutes
,TRUE,,20 kuni 40 tunniga.,Between 20 and 40 minutes
,FALSE,,30 sekundiga.,In 30 seconds
,,,,
,question,,"Milline raadiolainete levimehhanism võimaldab saadet vastu võtta pinnalaine ulatusest Kaugemal, kuid lähemal ionosfäärist peegeldunud lainest?","What radio wave propagation mechanism allows a broadcast to be received further away than the surface wave range, but closer than a wave reflected from the ionosphere?"
,,,,
,FALSE,,Sporaadiline E-levi.,Sporadic E propogation
,FALSE,,Lühikese hüppega levi.,Spread with a short jump
,TRUE,,Raadiolaine peegeldumine troposfääri ja ionosfääri ebaühtluskohtadest (scatter).,Reflection of radio waves from irregularities in the troposphere and ionosphere (scatter)
,FALSE,,Signaalide peegeldumine meteooride jäljelt.,Reflection of signals from a meteor trail
,,,,
,question,,Millises ionosfääri kihis kutsuvad äkilised ionosfääri häired esile raadiolainete suurenenud sumbuvuse?,In which layer of the ionosphere do sudden ionospheric disturbances cause increased attenuation of radio waves?
,,,,
,FALSE,,D-kihis.,D-layer
,TRUE,,E-kihis.,E-layer
,FALSE,,F2-kihis.,F2-layer
,FALSE,,F1-kihis.,F1-layer
,,,,
,question,,Kuidas mõjutab geomagnetiline torm raadiolainete levi?,How does a geomagnetic storm affect the propagation of radio waves?
,,,,
,FALSE,,Väga hea raadioside kõrgematel geomagnetilistel laiuskraadidel.,Very good radio communication at higher geomagnetic latitudes
,TRUE,,Halvenenud raadiolevi kõrgematel geomagnetilistel laiuskraadidel.,Deteriorated radio coverage at higher geomagnetic latitudes
,FALSE,,Suurenenud pinnalaine ulatus.,Increased surface wave range
,FALSE,,Raadioside täielik puudumine.,Complete lack of radio communication
,,,,
,question,,Mis on raadiolainete levi kriitiline nurk?,What is the critical angle for radio wave propagation?
,,,,
,FALSE,,"Minimaalne raadiolainete levi tõusunurk,mille juures raadiolained peegelduvad Maale tagasi ionosfääri teatud seisundi puhul.",The minimum elevation angle of radio wave propagation at which radio waves are reflected back to Earth for a given state of the ionosphere
,FALSE,,Kompassi suund teie asukohast korrespondendi suunas.,Compass direction from your location to the correspondent
,TRUE,,"Maksimaalne raadiolainete levi tõusunurk,mille juures raadiolained peegelduvad veel Maale tagasi ionosfääri teatud seisundi puhul.",The maximum elevation angle of radio wave propagation at which radio waves are still reflected back to Earth for a given state of the ionosphere
,FALSE,,Antenni poomi vertikaalnurk horisontaaltasapinna suhtes.,The vertical angle of the antenna boom relative to the horizontal plane
,,,,
,question,,Kui kaua tavaliselt kestavad ootamatud ionosfääri häired?,How long do unexpected ionospheric disturbances usually last?
,,,,
,FALSE,,Kogu päev.,The whole day
,TRUE,,Mõnest minutist kuni mõne tunnini.,From a few minutes to a few hours
,FALSE,,Keskmiselt ühe nädala.,"On average, one week"
,FALSE,,Kuni ühe kuuni.,For one hour
,,,,
,question,,Millistel laiuskraadidel esineb tavaliselt rohkem geomagnetilisi häireid?,At which latitudes do geomagnetic disturbances typically occur more frequently?
,,,,
,FALSE,,Ekvaatori laiuskraadidel.,At equatorial latitudes
,TRUE,,45 kraadist kõrgematel laiustel.,At latitudes above 45 degrees
,FALSE,,Kõikidel laiuskraadidel ühtemoodi.,The same at all latitudes
,FALSE,,Polaarööga hõivatud laiuskraadidel.,In latitudes occupied by the polar night
,,,,
,,,,
M8A,,,Moodul M8A Mõõtetehnika ja selle kasutamine.,
,question,,Milline mõõteriist sisaldab horisontaal- ja vertikaalkanali võimendi?,Which measuring instrument contains a horizontal and vertical channel amplifier?
,,,,
,FALSE,,Oommeeter.,Ohmmeter
,FALSE,,Signaalgeneraator.,Signal generator
,TRUE,,Ostsillograaf.,Oscilloscope
,FALSE,,Ampermeeter.,Ammeter
,,,,
,question,,Mis tüüpi signaale on võimalik ostsillograafi abil vaadelda?,What types of signals can be observed using an oscilloscope?
,,,,
,TRUE,,Suvalisi ajast sõltuvaid signaale instrumendi sagedusriba piires.,Any time-dependent signals within the instrument's frequency band
,FALSE,,Rahvusvahelisi laevade lipusignaale.,International ship flag signals
,FALSE,,Ookeanilaevade blinkersignaale.,Blinker signals of ocean-going ships
,FALSE,,Ioniseeritud atmosfäärikihtide poolt genereeritavaid signaale.,Aid signals generated by ionized atmospheric layers
,,,,
,question,,Mis seade on ostsillograaf?,What device is an oscillograph?
,,,,
,FALSE,,"Seade,mis näitab antenni kiirgustakistust.",A device that indicates the radiation resistance of an antenna
,FALSE,,"Seade,mis näitab antenni toiteliini seisulaine tegurit.",A device that indicates the standing wave factor of an antenna feed line
,TRUE,,"Seade, mis võimaldab uurida kuvaril signaalide lainekuju.",A device that allows you to examine the waveform of signals on a display
,FALSE,,Vooluringi takistust mõõtev seade.,A device that measures the resistance of a circuit
,,,,
,question,,Mis võib põhjustada ostsillograafi kineskoobi luminofoori riknemise?,What can cause the phosphor in an oscilloscopes kinescope to fail?
,,,,
,FALSE,,Vertikaalkanali võimendi ületüürimine.,Overdriving the vertical channel amplifier
,TRUE,,Liig suur heleduse säting.,Brightness setting too high
,FALSE,,Kiire ebaõige fokuseerimine.,Fast incorrect focusing
,FALSE,,Kineskoobi kallutuselektroodide vahetu ühendamine skeemi.,Direct connection of the kinescope tilt electrodes to the diagram
,,,,
,question,,Mis seade on antenni mürasild?,What device is an antenna noise bridge?
,,,,
,FALSE,,Seade antenni või muu elektrilise lülituse mürateguri mõõtmiseks.,A device for measuring the noise figure of an antenna or other electrical circuit
,TRUE,,Seade antenni või muu elektrilise lülituse impedantsi mõõtmiseks.,A device for measuring the impedance of an antenna or other electrical circuit
,FALSE,,Seade vastuvõtjas esineva müra hävitamiseks.,A device for eliminating noise in a receiver
,FALSE,,Seade Päikese raadiokiirguse mõõtmiseks.,A device for measuring solar radio radiation
,,,,
,question,,Kuhu ühendatakse antenni mürasild?,Where is the antenna noise bridge connected?
,,,,
,FALSE,,Seade ühendatakse antenni toitepunkti ja müra suurus loetakse seadme skaalalt.,The device is connected to the antenna power point and the noise level is read from the device scale
,FALSE,,Seade ühendatakse saatja ja antenni vahele ning häälestatakse minimaalse seisulaine teguri saavutamiseni.,The device is connected between the transmitter and the antenna and tuned until the minimum standing wave factor is achieved
,TRUE,,Seade ühendatakse vastuvõtja ja tundmatu impedantsiga lülituse vahele ning häälestatakse minimaalse müra saavutamiseni.,The device is connected between the receiver and a circuit with unknown impedance and tuned to achieve minimum noise
,FALSE,,Seade ühendatakse antenni ja antenni sobituslülituse vahele ning häälestatakse minimaalse seisulaine teguri saavutamiseni.,The device is connected between the antenna and the antenna matching circuit and tuned until the minimum standing wave factor is achieved
,,,,
,question,,Mis seade on väljatugevuse mõõtja?,What device is a field strength meter?
,,,,
,FALSE,,"Seade, mis mõõdab seisulaine tegurit antenni toiteliinis.",A device that measures the standing wave factor in an antenna feed line
,FALSE,,Seade modulatsioonisügavuse määramiseks saatja väljundis.,A device for determining the modulation depth at the transmitter output
,TRUE,,Seade kõrgsagedussignaali suhtelise võimsuse mõõtmiseks.,A device for measuring the relative power of a high-frequency signal
,FALSE,,Seade saatja keskmise väljundvõimsuse suurendamiseks.,A device for increasing the average output power of a transmitter
,,,,
,question,,"Kui palju tuleb suurendada saatja väljundvõimsusust,et saatja läheduses asuva vastuvõtja S-meetri näit suureneks S8-lt S9-ni ?",How much must the transmitter output power be increased so that the S-meter reading of the receiver located near the transmitter increases from S8 to S9?
,,,,
,FALSE,,Ligikaudu kaks korda,Approximately two times
,FALSE,,Ligikaudu kolm korda,Approximately three times
,TRUE,,Ligikaudu neli korda.,Approximately four times
,FALSE,,Ligikaudu viis korda,Approximatley 5 times
,,,,
,question,,Milline on kõige sobivam lihtne instrument antenni kiirguse suunadiagrammi määramiseks horisontaaltasapinnas?,What is the most suitable simple instrument for determining the radiation pattern of an antenna in the horizontal plane?
,,,,
,TRUE,,Väljatugevuse mõõtja.,Field strength meter
,FALSE,,Antenni mürasild.,Antenna noise bridge
,FALSE,,Tester.,Tester
,FALSE,,Transmatch.,Transmatch
,,,,
,question,,Millist seadet saab kasutada saatja väljundsignaalis esinevate intermodulatsiooni-moonutustes tekitatud parasiitsignaalide uurimiseks?,What device can be used to study parasitic signals caused by intermodulation distortion in the transmitter output signal?
,,,,
,FALSE,,Vattmeeter.,Wattmeter
,TRUE,,Spektrianalüsaator.,Spectrum analyser
,FALSE,,Loogikaskeemide analüsaator.,Logic circuit analyzer
,FALSE,,Mäluga reflektomeeter.,Reflectometer with memory
,,,,
,,,,
M9A,,,Moodul M9A Raadiohäired ja elektromagnetiline ühildatavus (EMC).,
,question,,Mis on atmosfääriliste raadiohäirete peamine tekkepõhjus?,What is the main cause of atmospheric radio interference?
,,,,
,FALSE,,Päikeseplekid.,Sunspots
,TRUE,,Äikesetormid.,Lightning storms
,FALSE,,Lennukid.,Airplanes
,FALSE,,Ioniseeritud meteoorijäljed.,Ionized meteor trails
,,,,
,question,,"Kuidas on võimalik kindlaks teha, kas raadiohäireid tekitav elektriliin asub teiemajas?",How can you determine if a power line causing radio interference is located in your house?
,,,,
,FALSE,,Kontrolli elektriliini pinget graafilise reflektomeetriga.,Check the power line voltage with a graphic reflectometer
,FALSE,,Kontrolli vahelduvvoolu lainekuju ostsillograafi abil.,Check the AC waveform using an oscilloscope
,TRUE,,Lülita välja maja elektrivõrgu pealüliti ja kuula patareitoitega raadiot.,Turn off the main switch in your house and listen to a battery-powered radio
,FALSE,,Uuri elektrivõrgu pinget spektrianalüsaatoriga.,Check the voltage of the power grid with a spectrum analyzer
,,,,
,question,,Kuidas on võimalik vähendada auto elektrigeneraatori poolt tekitatavaid raadiohäireid?,How can I reduce the radio interference caused by a cars generator?
,,,,
,FALSE,,Ühendada raadio toitejuhtmed akuga nii pikka teed mööda kui vähegi võimalik.,Connect the radio power wires to the battery as far as possible
,TRUE,,Ühendades raadio toitejuhtmed akuga lühimat võimalikku teed kaudu.,Connecting the radio power wires to the battery via the shortest possible route
,FALSE,,Ühendades kõrgpääsfiltri järjestikku raadiojaama auto pardavõrguga ühendavasse juhtmesse.,By connecting a high-pass filter in series to the wire connecting the radio station to the car's on-board network
,FALSE,,Lülitades filterkondensaatorid järjestikku alalisvoolu toitejuhtmesse.,By connecting filter capacitors in series to the DC power line
,,,,
,question,,Kuidas saab vähendada väga tugeva signaali toimel vastuvõtjas tekkivaid intermodulatsioonihäireid?,How can intermodulation interference caused by very strong signals in a receiver be reduced?
,,,,
,FALSE,,Vähendades vastuvõtja toitepinget.,By reducing the receiver's supply voltage
,TRUE,,Lülitades vastuvõtja sisendisse attenuaatori.,By switching on an attenuator at the receiver input
,FALSE,,Kasutada vastuvõtja kõige kitsama pääsuribaga filtrit.,Use the narrowest passband filter on the receiver
,FALSE,,Kasutada vastuvõtja kõige laiema pääsuribaga filtrit.,Use the filter with the widest passband of the receiver
,,,,
,question,,Miks on kasulik omada vastuvõtja sisendis attenuaatorit?,Why is it useful to have an attenuator at the receiver input?
,,,,
,FALSE,,Vähendab vastuvõetava signaali ribalaiust.,Reduces the bandwidth of the received signal
,FALSE,,Elimineerib isotroopilise kiirguse põhjustatud efekte.,Eliminates effects caused by isotropic radiation
,TRUE,,Kaitseb vastuvõtja ülekoormamist erakordselt tugeva signaali poolt.,Protects the receiver from being overloaded by an exceptionally strong signal
,FALSE,,Vähendab antenni kiirgusdiagrammi nullide põhjustatud signaali nõrgenemise mõju.,Reduces the effect of signal attenuation caused by nulls in the antenna radiation pattern
,,,,
,question,,"Teie naaber teatab,et tekitate häireid televisioonivastuvõtule.Teie olete aga kindel, et teie aparatuur töötab korralikult.Mida peate tegema?","Your neighbor reports that he is causing interference with your television reception. However, you are sure that your equipment is working properly. What should you do?"
,,,,
,FALSE,,Lülitate kohe oma saatja välja ja pöördute Tehnilise Järelevalve Ameti poole abi saamiseks.,You immediately turn off your transmitter and contact the Technical Surveillance Authority for assistance
,TRUE,,"Kontakteerudes naabriga proovite välja selgitada, kas tõepoolest teie töö eetris on TV-häirete tekkepõhjuseks.","By contacting your neighbor, you try to find out whether your work on the air is indeed the cause of the TV interference"
,FALSE,,Monteerite saatja väljundisse kõrgpääsfiltri ja televiisori sisendisse madal-pääsfiltri,You install a high-pass filter on the transmitter output and a low-pass filter on the television input
,FALSE,,"Jätkate tööd tavalisel moel, kuna teil ei ole mingit legaalset põhjust interferents-häirete vähendamiseks või elimineerimiseks.","You continue to work as usual, as you have no legal reason to reduce or eliminate interference"
,,,,
,question,,Mis tüüpi filter tuleb kõigepealt paigaldada amatöörraadiojaama harmooniliste sageduste kiirguse vältimiseks?,What type of filter should be installed first to prevent the emission of harmonic frequencies from an amateur radio station?
,,,,
,FALSE,,Võtmeklõpsu filter.,Key click filter
,TRUE,,Madalpääsfilter.,Low-pass filter
,FALSE,,Kõrgpääsfilter.,High-pass filter
,FALSE,,CW filter.,CW filter
,,,,
,question,,"Mis tüüpi interferentshäireid võib kiirata mitmebandi antenn,mis on ühendatud valesti häälestatud raadiojaama väljundisse?",What type of interference can be emitted by a multiband antenna connected to the output of a mistuned radio station?
,,,,
,TRUE,,Harmoonilisi sagedusi.,Harmonic frequencies
,FALSE,,Aurora taolisi signaale.,Aurora-like signals
,FALSE,,Parasiitsignaale.,Parasitic signals
,FALSE,,Intermodulatsioonihäireid.,Intermodulation interference
,,,,
,question,,"Mida tähendab väljend ""harmooniliste kiirgus""?","What does the expression ""harmonic radiation"" mean?"
,,,,
,TRUE,,Töösageduse täiskordsete sageduste kiirgus eetrisse.,Emission of frequencies that are multiples of the operating frequency into the air
,FALSE,,50 Hz brummsagedusega moduleeritud signaalide kiirgus.,Radiation of modulated signals with a hum frequency of 50 Hz
,FALSE,,Lähedal paiknevates teistes saatjates võib tekkida liitmodulatsioon teie saatja töö tõttu.,Intermodulation may occur in other nearby transmitters due to the operation of your transmitter
,FALSE,,Signaalide saatmine F kihis raadiosignaale peegeldava sektori tekitamiseks.,Sending signals in the F layer to create a sector that reflects radio signals
,,,,
,question,,Milline filter tuleb paigutada televiisori sisendisse esmase abinõuna amatöörraadiojaama poolt tekitatud kõrgsagedusliku ülekoormuse vähendamiseks?,What filter should be placed at the television input as a first step to reduce high-frequency overload caused by an amateur radio station?
,,,,
,TRUE,,Kõrgpääsfilter.,High-pass filter
,FALSE,,Madalpääsfilter.,Low-pass filter
,FALSE,,Ribafilter.,Bandpass filter
